Gene ID,Gene Symbol,WT Control,WT Fracture,DTR Control,DTR fracture,LogFC WT Fx vs WT Ctrl,LogFC DTR Fx vs WT FX,LogFC DTR Fx vs DTR Ctrl,LogFC DTR Ctrl vs WT Ctrl,SD WT Control,SD WT Fracture,SD DTR Control,SD DTR Fracture,SEM WT Control,SEM WT Fracture,SEM DTR Control,SEM DTR Fracture
ENSMUSG00000104369.1,Gm38082,56.6,68.4,98.66666667,54,0.2732,-0.3410,-0.8696,0.8018,23.2981,22.4678,24.5832,48.7545,10.4192,10.0479,14.1931,28.1484
ENSMUSG00000104378.1,Gm37510,161,143.6,184,197.3333333,-0.1650,0.4586,0.1009,0.1926,23.9583,33.0273,27.0000,17.2434,10.7145,14.7702,15.5885,9.9555
ENSMUSG00000104388.1,Gm37033,91,113.8,155,65,0.3226,-0.8080,-1.2538,0.7683,42.5147,48.3498,75.3193,13.4536,19.0132,21.6227,43.4856,7.7675
ENSMUSG00000104394.2,Gm37254,31.2,37.8,69.33333333,49.33333333,0.2768,0.3842,-0.4910,1.1520,24.8435,4.0249,2.5166,32.3161,11.1104,1.8000,1.4530,18.6577
ENSMUSG00000104436.1,Gm37423,20.8,21,23.33333333,18.33333333,0.0138,-0.1959,-0.3479,0.1658,13.9893,11.6833,14.3643,16.5025,6.2562,5.2249,8.2932,9.5277
ENSMUSG00000104443.1,4932442E05Rik,24.6,18.4,9.333333333,8.333333333,-0.4190,-1.1427,-0.1635,-1.3982,16.8464,9.5551,5.1316,7.7675,7.5339,4.2732,2.9627,4.4845
ENSMUSG00000104453.1,Gm37829,10.4,17.4,22,23.33333333,0.7425,0.4233,0.0849,1.0809,11.5022,6.4653,11.2694,4.7258,5.1439,2.8914,6.5064,2.7285
ENSMUSG00000104463.2,Mat2a,1638.4,1850.8,1772,1178,0.1759,-0.6518,-0.5890,0.1131,901.8402,339.3062,281.4942,786.2449,403.3152,151.7423,162.5208,453.9387
ENSMUSG00000104484.1,Gm33142,107.8,141.2,222,149,0.3894,0.0776,-0.5752,1.0422,34.3613,41.3727,59.7578,48.5901,15.3668,18.5024,34.5012,28.0535
ENSMUSG00000104503.1,Gm37738,42,27.6,38.33333333,40.66666667,-0.6057,0.5592,0.0852,-0.1318,42.7142,13.3903,15.3731,29.7714,19.1024,5.9883,8.8757,17.1885
ENSMUSG00000104523.1,Gm37335,40.4,46,34,63.33333333,0.1873,0.4613,0.8974,-0.2488,17.9109,14.6969,11.5326,65.6227,8.0100,6.5727,6.6583,37.8873
ENSMUSG00000104548.1,Gm43857,59.8,64.6,116.3333333,87.33333333,0.1114,0.4350,-0.4137,0.9600,29.0465,16.7869,49.5210,23.0940,12.9900,7.5073,28.5910,13.3333
ENSMUSG00000104571.1,Gm43010,73.6,41.4,35.66666667,35.33333333,-0.8301,-0.2286,-0.0135,-1.0451,73.3369,6.0249,11.0604,11.9304,32.7973,2.6944,6.3857,6.8880
ENSMUSG00000104682.1,Gm42636,10.6,14.2,20.33333333,3,0.4218,-2.2429,-2.7608,0.9398,4.6152,9.6281,5.0332,5.1962,2.0640,4.3058,2.9059,3.0000
ENSMUSG00000104698.1,Gm42602,119.8,147.4,171,161.6666667,0.2991,0.1333,-0.0810,0.5134,55.2512,32.6466,21.9317,41.5010,24.7091,14.6000,12.6623,23.9606
ENSMUSG00000104704.1,Gm43133,31.8,25.8,31.66666667,79.33333333,-0.3017,1.6206,1.3250,-0.0061,8.8713,16.6643,5.6862,74.3259,3.9674,7.4525,3.2830,42.9121
ENSMUSG00000104713.4,Gbp6,70.8,18,45.33333333,33.66666667,-1.9758,0.9033,-0.4293,-0.6432,28.3937,12.5100,20.3060,18.4481,12.6980,5.5946,11.7237,10.6510
ENSMUSG00000104720.1,Gm43138,23.6,17.6,27,9.333333333,-0.4232,-0.9151,-1.5325,0.1942,15.2742,6.1887,13.4536,7.0238,6.8308,2.7677,7.7675,4.0552
ENSMUSG00000104724.1,Gm43162,15.8,25.8,9.333333333,2,0.7074,-3.6893,-2.2224,-0.7595,9.3381,12.5379,9.4516,1.7321,4.1761,5.6071,5.4569,1.0000
ENSMUSG00000104737.1,Gm42937,6.6,14.8,5,27.33333333,1.1651,0.8851,2.4507,-0.4005,5.3198,10.9407,5.2915,30.3535,2.3791,4.8929,3.0551,17.5246
ENSMUSG00000104761.1,Gm43511,11.8,22.4,15.33333333,21,0.9247,-0.0931,0.4537,0.3779,4.6583,7.9875,2.0817,19.0788,2.0833,3.5721,1.2019,11.0151
ENSMUSG00000104795.1,Gm42783,26.4,28.8,26.66666667,39,0.1255,0.4374,0.5484,0.0145,8.8769,7.5961,7.6376,21.5174,3.9699,3.3971,4.4096,12.4231
ENSMUSG00000104806.1,Gm42566,13.6,73.8,49.33333333,62,2.4400,-0.2514,0.3297,1.8590,14.4153,91.6881,67.3078,46.2925,6.4467,41.0041,38.8601,26.7270
ENSMUSG00000104814.1,Gm42979,103.4,123.2,138.3333333,82.66666667,0.2528,-0.5756,-0.7428,0.4199,56.0562,19.7914,33.0807,70.6847,25.0691,8.8510,19.0992,40.8099
ENSMUSG00000104822.1,Gm42967,17.6,20,13,23,0.1844,0.2016,0.8231,-0.4371,15.3395,11.0905,11.3578,30.4138,6.8600,4.9598,6.5574,17.5594
ENSMUSG00000104835.4,Gm5547,29.2,40.8,30.33333333,43.66666667,0.4826,0.0980,0.5256,0.0549,18.2538,11.5195,4.9329,37.8594,8.1633,5.1517,2.8480,21.8581
ENSMUSG00000104852.1,Gm43201,31.4,32.2,62.33333333,8.666666667,0.0363,-1.8935,-2.8465,0.9892,32.1372,23.6263,5.8595,13.3167,14.3722,10.5660,3.3830,7.6884
ENSMUSG00000104856.1,Rnu3b3,21.4,14,15.33333333,52.66666667,-0.6122,1.9115,1.7802,-0.4809,20.6833,9.4074,3.7859,59.5343,9.2499,4.2071,2.1858,34.3721
ENSMUSG00000104873.1,Gm40332,10,15.8,27,15,0.6599,-0.0750,-0.8480,1.4330,8.0000,10.5214,23.5160,15.1327,3.5777,4.7053,13.5769,8.7369
ENSMUSG00000104910.1,Gm43331,25.4,28.6,67,30.33333333,0.1712,0.0849,-1.1433,1.3993,13.8852,9.3702,57.2364,12.6623,6.2097,4.1905,33.0454,7.3106
ENSMUSG00000104918.1,Gm42944,65,81.8,34.66666667,12,0.3317,-2.7691,-1.5305,-0.9069,45.7329,17.2974,39.5769,17.4356,20.4524,7.7356,22.8498,10.0664
ENSMUSG00000104940.1,Gm42908,23.6,10.6,25.33333333,19.33333333,-1.1547,0.8670,-0.3899,0.1023,21.2321,7.9561,11.7189,17.7858,9.4953,3.5581,6.7659,10.2686
ENSMUSG00000104951.1,Gm43413,11,13,21.66666667,8.666666667,0.2410,-0.5850,-1.3219,0.9780,10.9772,7.1063,12.8582,7.7675,4.9092,3.1780,7.4237,4.4845
ENSMUSG00000104960.1,Snhg8,1388.6,1013.8,1333,2141.666667,-0.4539,1.0790,0.6841,-0.0590,1286.0468,390.7598,406.6460,1575.9170,575.1376,174.7531,234.7772,909.8561
ENSMUSG00000104969.1,Gm43445,23,12.2,14,31.33333333,-0.9148,1.3608,1.1623,-0.7162,26.6458,7.7266,9.5394,37.0720,11.9164,3.4554,5.5076,21.4035
ENSMUSG00000104973.1,A530041M06Rik,17.4,23.2,28.66666667,9.666666667,0.4150,-1.2630,-1.5683,0.7203,13.5019,11.4543,19.6554,5.0332,6.0382,5.1225,11.3480,2.9059
ENSMUSG00000104986.1,1600023N17Rik,8.4,10.4,15.33333333,10.66666667,0.3081,0.0365,-0.5236,0.8682,5.8992,8.2037,25.6970,9.4516,2.6382,3.6688,14.8361,5.4569
ENSMUSG00000105004.1,Gm43075,15.8,18.8,16.33333333,7,0.2508,-1.4253,-1.2224,0.0479,5.0695,16.6643,4.7258,7.0000,2.2672,7.4525,2.7285,4.0415
ENSMUSG00000105006.1,Gm9484,24.4,22.6,37.33333333,14.33333333,-0.1106,-0.6569,-1.3811,0.6136,11.7175,15.4693,26.5769,16.6533,5.2402,6.9181,15.3442,9.6148
ENSMUSG00000105025.1,Rnu3b1,21.4,14,15.33333333,52.66666667,-0.6122,1.9115,1.7802,-0.4809,20.6833,9.4074,3.7859,59.5343,9.2499,4.2071,2.1858,34.3721
ENSMUSG00000105055.1,Gm43079,22.6,12.4,14.66666667,15.66666667,-0.8660,0.3374,0.0952,-0.6238,9.7108,6.5803,5.8595,7.0946,4.3428,2.9428,3.3830,4.0961
ENSMUSG00000105071.1,Gm43336,59.4,51.6,57.66666667,65.33333333,-0.2031,0.3404,0.1801,-0.0427,21.6979,24.3167,36.9504,36.2951,9.7036,10.8747,21.3333,20.9550
ENSMUSG00000105137.1,Gm42869,14.8,29.8,45.33333333,24.66666667,1.0097,-0.2727,-0.8780,1.6150,15.3525,13.8456,25.3246,20.7926,6.8659,6.1919,14.6211,12.0046
ENSMUSG00000105161.1,Gm42595,29.8,18.4,18.66666667,32.33333333,-0.6956,0.8133,0.7926,-0.6748,21.1116,11.9290,16.5025,21.3854,9.4414,5.3348,9.5277,12.3468
ENSMUSG00000105198.1,Gm42502,42,52.2,63.33333333,45,0.3137,-0.2141,-0.4930,0.5926,36.8714,6.8337,18.7705,32.7872,16.4894,3.0561,10.8372,18.9297
ENSMUSG00000105201.1,Gm43362,183.8,207.4,262,346,0.1743,0.7384,0.4012,0.5114,94.0223,48.1020,11.5326,172.2179,42.0481,21.5119,6.6583,99.4300
ENSMUSG00000105229.1,Gm43149,32.8,9.6,72.33333333,36,-1.7726,1.9069,-1.0067,1.1410,26.8459,5.0299,18.5831,29.4449,12.0058,2.2494,10.7290,17.0000
ENSMUSG00000105263.1,Gm42427,59.4,63.2,44,33.66666667,0.0895,-0.9086,-0.3862,-0.4330,40.0600,12.2147,25.2389,18.2300,17.9154,5.4626,14.5717,10.5251
ENSMUSG00000105283.1,Gm33370,17.6,18.4,17.33333333,37.33333333,0.0641,1.0208,1.1069,-0.0220,15.7575,10.7145,2.3094,18.5562,7.0470,4.7917,1.3333,10.7134
ENSMUSG00000105293.1,Gm42843,16.8,6,23.33333333,44.66666667,-1.4854,2.8962,0.9368,0.4739,17.7679,4.0620,14.3643,48.2321,7.9461,1.8166,8.2932,27.8468
ENSMUSG00000105304.1,Gm43696,40.6,60.6,56,33,0.5778,-0.8769,-0.7630,0.4639,20.8638,18.6091,28.1603,6.2450,9.3306,8.3223,16.2583,3.6056
ENSMUSG00000105326.1,6030400A10Rik,48.4,43,66.66666667,58.33333333,-0.1707,0.4400,-0.1926,0.4620,30.1795,9.0554,23.7136,19.8578,13.4967,4.0497,13.6910,11.4649
ENSMUSG00000105345.1,BC030343,14.8,22.2,29.33333333,22.66666667,0.5850,0.0300,-0.3720,0.9869,9.8336,4.4385,26.6333,29.8385,4.3977,1.9849,15.3768,17.2272
ENSMUSG00000105356.1,Gm42603,10.8,16.4,27.66666667,26,0.6027,0.6648,-0.0896,1.3571,5.5857,8.0808,16.0416,30.3150,2.4980,3.6139,9.2616,17.5024
ENSMUSG00000105378.1,Gm42515,37.8,32,32.33333333,41,-0.2403,0.3576,0.3426,-0.2254,24.9540,7.5829,26.5016,32.0780,11.1597,3.3912,15.3007,18.5203
ENSMUSG00000105388.1,Rpl36a-ps2,43.8,27.2,33.33333333,98.33333333,-0.6873,1.8541,1.5607,-0.3940,49.3224,7.8230,15.6950,79.6074,22.0577,3.4986,9.0615,45.9613
ENSMUSG00000105402.4,Gm3716,31.8,35.2,39,28,0.1465,-0.3301,-0.4780,0.2944,22.8736,12.7554,15.1327,8.8882,10.2294,5.7044,8.7369,5.1316
ENSMUSG00000105408.1,Gm7285,21.4,32,40.66666667,30.33333333,0.5805,-0.0772,-0.4229,0.9262,8.2946,10.5119,6.5064,14.5717,3.7094,4.7011,3.7565,8.4130
ENSMUSG00000105434.1,Gm43359,64.8,64.6,87,44.66666667,-0.0045,-0.5323,-0.9618,0.4250,25.1535,29.5770,13.8564,22.8983,11.2490,13.2272,8.0000,13.2204
ENSMUSG00000105447.1,Gm43653,5.8,11.4,20,14,0.9749,0.2964,-0.5146,1.7859,4.0249,6.6558,1.7321,7.9373,1.8000,2.9766,1.0000,4.5826
ENSMUSG00000105449.1,Gm43379,15.2,14,26.33333333,44,-0.1186,1.6521,0.7406,0.7928,15.9437,8.8882,2.0817,56.4004,7.1302,3.9749,1.2019,32.5628
ENSMUSG00000105457.1,Gm43200,21,19.2,45,14.33333333,-0.1293,-0.4217,-1.6506,1.0995,4.7434,10.6630,4.3589,6.3509,2.1213,4.7686,2.5166,3.6667
ENSMUSG00000105460.1,Gm42671,9.6,22,25.66666667,9.666666667,1.1964,-1.1864,-1.4088,1.4188,9.0719,14.9666,10.9697,8.3865,4.0571,6.6933,6.3333,4.8419
