Gene ID,Gene Symbol,WT Control,WT Fracture,DTR Control,DTR fracture,LogFC WT Fx vs WT Ctrl,LogFC DTR Fx vs WT FX,LogFC DTR Fx vs DTR Ctrl,LogFC DTR Ctrl vs WT Ctrl,SD WT Control,SD WT Fracture,SD DTR Control,SD DTR Fracture,SEM WT Control,SEM WT Fracture,SEM DTR Control,SEM DTR Fracture
ENSMUSG00000000001.4,Gnai3,485.4,591.8,535,353,0.2859,-0.7454,-0.5999,0.1404,330.9906,111.1787,188.5099,250.4017,148.0235,49.7206,108.8363,144.5695
ENSMUSG00000000028.15,Cdc45,98,99.8,30,30.66666667,0.0263,-1.7024,0.0317,-1.7078,72.5948,23.4563,9.5394,37.8726,32.4654,10.4900,5.5076,21.8658
ENSMUSG00000000056.7,Narf,788.6,725,903,455.6666667,-0.1213,-0.6700,-0.9867,0.1954,511.3226,185.5869,217.4006,332.6926,228.6704,82.9970,125.5163,192.0801
ENSMUSG00000000058.6,Cav2,40.2,66,48,24.33333333,0.7153,-1.4395,-0.9801,0.2558,37.9038,12.1861,8.7178,11.0604,16.9511,5.4498,5.0332,6.3857
ENSMUSG00000000078.7,Klf6,962.6,1249.6,1237,866,0.3765,-0.5290,-0.5144,0.3618,392.9768,100.4455,180.6848,413.8635,175.7446,44.9206,104.3184,238.9442
ENSMUSG00000000085.16,Scmh1,181,239.2,221.6666667,177.6666667,0.4022,-0.4290,-0.3192,0.2924,93.5975,64.7549,40.1539,94.7699,41.8581,28.9593,23.1828,54.7154
ENSMUSG00000000088.7,Cox5a,1089,1266.6,1286.666667,1585.333333,0.2180,0.3238,0.3011,0.2406,442.4890,368.8378,271.1906,705.7311,197.8871,164.9493,156.5720,407.4540
ENSMUSG00000000127.15,Fer,250.6,216.2,263,190.6666667,-0.2130,-0.1813,-0.4640,0.0697,60.7602,46.0511,69.4190,18.0093,27.1728,20.5947,40.0791,10.3976
ENSMUSG00000000131.15,Xpo6,350.6,377.8,367.3333333,237.6666667,0.1078,-0.6687,-0.6282,0.0673,251.9827,128.8592,150.6464,251.6830,112.6901,57.6276,86.9757,145.3092
ENSMUSG00000000134.17,Tfe3,1408,1548.2,1504.666667,1301.666667,0.1369,-0.2502,-0.2091,0.0958,653.3961,360.2932,430.5024,736.7716,292.2076,161.1280,248.5507,425.3753
ENSMUSG00000000148.17,Brat1,532.6,528.2,578.3333333,379,-0.0120,-0.4789,-0.6097,0.1188,311.8025,180.9260,29.2803,271.1439,139.4423,80.9125,16.9050,156.5450
ENSMUSG00000000149.10,Gna12,1610,2117.4,1687.666667,1713.666667,0.3952,-0.3052,0.0221,0.0680,962.4097,812.7809,304.6331,1541.1315,430.4027,363.4867,175.8800,889.7727
ENSMUSG00000000168.9,Dlat,197.8,192.4,226,163.6666667,-0.0399,-0.2333,-0.4656,0.1923,60.2138,42.7703,29.5127,63.7050,26.9284,19.1275,17.0392,36.7801
ENSMUSG00000000171.5,Sdhd,948.2,1276.8,1434,844,0.4293,-0.5972,-0.7647,0.5968,469.8082,153.8756,264.0511,329.2598,210.1046,68.8153,152.4500,190.0982
ENSMUSG00000000194.13,Gpr107,1233.8,1416.6,1478.666667,1074.333333,0.1993,-0.3990,-0.4609,0.2612,601.9848,166.4611,235.3855,463.9960,269.2158,74.4437,135.8999,267.8882
ENSMUSG00000000244.17,Tspan32,835.2,1148,1533.333333,1988,0.4589,0.7922,0.3746,0.8765,152.1535,150.3845,480.4522,237.3120,68.0451,67.2540,277.3892,137.0122
ENSMUSG00000000253.13,Gmpr,805.8,1012.2,944,643.3333333,0.3290,-0.6539,-0.5532,0.2284,269.5917,115.1551,113.4769,231.2149,120.5651,51.4989,65.5159,133.4920
ENSMUSG00000000275.16,Trim25,569.6,580.2,727.3333333,513,0.0266,-0.1776,-0.5037,0.3527,226.1002,65.4462,125.4286,173.6923,101.1151,29.2684,72.4162,100.2813
ENSMUSG00000000278.10,Scpep1,1719.6,2091,2826.666667,1896.666667,0.2821,-0.1407,-0.5756,0.7170,1054.2428,330.8890,620.2551,1186.9732,471.4717,147.9780,358.1044,685.2993
ENSMUSG00000000282.12,Mnt,93,124.6,83.33333333,118.6666667,0.4220,-0.0704,0.5099,-0.1583,24.4029,13.2590,28.0060,35.2326,10.9133,5.9296,16.1692,20.3415
ENSMUSG00000000290.13,Itgb2,7121.6,8274.4,9004.666667,6625,0.2165,-0.3207,-0.4428,0.3385,4698.6013,2355.1884,2256.1189,5228.7502,2101.2784,1053.2723,1302.5708,3018.8204
ENSMUSG00000000295.13,Hddc2,97.2,186.2,247,163.3333333,0.9378,-0.1890,-0.5967,1.3455,48.6128,44.0817,42.4617,37.0990,21.7403,19.7140,24.5153,21.4191
ENSMUSG00000000301.16,Pemt,31.8,55.4,15.33333333,24.33333333,0.8009,-1.1870,0.6663,-1.0524,22.2531,40.9610,26.5581,21.7792,9.9519,18.3183,15.3333,12.5742
ENSMUSG00000000325.16,Arvcf,229,288.4,144.6666667,75.66666667,0.3327,-1.9303,-0.9350,-0.6626,107.8726,91.0428,81.0823,55.4286,48.2421,40.7156,46.8129,32.0017
ENSMUSG00000000326.13,Comt,2104.2,3447,2980.333333,1976.333333,0.7121,-0.8025,-0.5926,0.5022,971.6415,368.5458,399.4826,1102.6229,434.5313,164.8187,230.6414,636.5996
ENSMUSG00000000339.14,Rtca,319.6,427.8,358.3333333,271.6666667,0.4207,-0.6551,-0.3995,0.1650,159.7664,29.2181,38.7341,58.9689,71.4497,13.0668,22.3632,34.0457
ENSMUSG00000000340.10,Dbt,41.4,77.4,37.66666667,17.33333333,0.9027,-2.1588,-1.1197,-0.1363,39.7593,4.3932,31.9427,15.9478,17.7809,1.9647,18.4421,9.2075
ENSMUSG00000000346.9,Dazap2,3269.4,4658.4,4840.333333,3417.333333,0.5108,-0.4470,-0.5022,0.5661,1788.1613,407.5467,434.0522,2096.5477,799.6900,182.2604,250.6002,1210.4424
ENSMUSG00000000355.13,Mcts1,412.6,634,613.6666667,462,0.6197,-0.4566,-0.4096,0.5727,68.3579,109.5148,88.0928,185.3537,30.5706,48.9765,50.8604,107.0140
ENSMUSG00000000374.8,Trappc10,490.6,404,460,802,-0.2802,0.9892,0.8020,-0.0929,192.0307,59.9333,136.4954,570.0237,85.8788,26.8030,78.8057,329.1033
ENSMUSG00000000378.15,Ccm2,871.8,1096.8,868,545,0.3312,-1.0090,-0.6714,-0.0063,416.7442,169.6738,165.0848,191.9479,186.3737,75.8804,95.3118,110.8212
ENSMUSG00000000384.15,Tbrg4,37.4,45.6,44.33333333,46.66666667,0.2860,0.0334,0.0740,0.2454,15.0266,20.3052,21.9393,48.6861,6.7201,9.0807,12.6667,28.1089
ENSMUSG00000000386.16,Mx1,644.6,316.2,579,522,-1.0276,0.7232,-0.1495,-0.1548,281.0512,170.4867,66.0000,105.4846,125.6899,76.2440,38.1051,60.9016
ENSMUSG00000000399.10,Ndufa9,1562.4,2102.4,2050,1518.333333,0.4283,-0.4695,-0.4331,0.3919,550.3229,287.0397,195.3023,628.6226,246.1119,128.3681,112.7579,362.9354
ENSMUSG00000000420.15,Galnt1,565.6,703.6,644.3333333,537.3333333,0.3150,-0.3889,-0.2620,0.1880,352.1339,96.8545,214.5841,294.3847,157.4791,43.3147,123.8902,169.9631
ENSMUSG00000000439.9,Mkrn2,210,295,283.3333333,198.3333333,0.4903,-0.5728,-0.5146,0.4321,103.6629,50.1049,36.6379,80.5626,46.3595,22.4076,21.1529,46.5128
ENSMUSG00000000441.17,Raf1,756,822.2,882.6666667,521,0.1211,-0.6582,-0.7606,0.2235,485.1479,178.3261,141.7651,355.1605,216.9647,79.7499,81.8481,205.0520
ENSMUSG00000000486.13,Septin1,19.2,25.2,50.66666667,56.33333333,0.3923,1.1606,0.1530,1.3999,7.9498,9.2574,12.3423,4.1633,3.5553,4.1400,7.1259,2.4037
ENSMUSG00000000489.7,Pdgfb,1330.2,1423,1334,917.3333333,0.0973,-0.6334,-0.5402,0.0041,463.4320,285.9257,284.4521,420.2170,207.2531,127.8699,164.2285,242.6124
ENSMUSG00000000530.16,Acvrl1,548,720.4,894.3333333,742.3333333,0.3946,0.0433,-0.2687,0.7066,206.2159,71.9465,80.8290,525.2669,92.2226,32.1755,46.6667,303.2630
ENSMUSG00000000532.11,Acvr1b,102.2,103.2,88,78.66666667,0.0140,-0.3916,-0.1618,-0.2158,24.0146,28.6740,11.1355,32.6241,10.7396,12.8234,6.4291,18.8355
ENSMUSG00000000538.18,Tom1l2,112.6,109.2,109.3333333,82,-0.0442,-0.4133,-0.4150,-0.0425,44.0885,44.9355,52.7763,28.8271,19.7170,20.0958,30.4704,16.6433
ENSMUSG00000000552.10,Zfp385a,137.8,131.2,37,120,-0.0708,-0.1287,1.6974,-1.8970,49.0173,51.1781,64.0859,16.0935,21.9212,22.8876,37.0000,9.2916
ENSMUSG00000000555.8,Itga5,167.8,125.8,133.6666667,112,-0.4156,-0.1676,-0.2551,-0.3281,111.7215,65.0861,39.8037,96.4365,49.9634,29.1074,22.9807,55.6776
ENSMUSG00000000561.14,Wdr77,627.4,762.2,785.6666667,503.6666667,0.2808,-0.5977,-0.6414,0.3245,374.7517,62.1023,169.9098,303.5627,167.5940,27.7730,98.0975,175.2620
ENSMUSG00000000562.5,Adora3,599.2,715.2,716,435.6666667,0.2553,-0.7151,-0.7167,0.2569,276.0411,77.4028,154.2336,150.2409,123.4493,34.6156,89.0468,86.7416
ENSMUSG00000000563.17,Atp5pb,2070.8,3082.4,2903.333333,1953.333333,0.5739,-0.6581,-0.5718,0.4875,833.3773,385.9680,60.3849,885.3363,372.6977,172.6101,34.8632,511.1491
ENSMUSG00000000568.15,Hnrnpd,219.2,283.2,272.6666667,297.3333333,0.3696,0.0703,0.1249,0.3149,103.2821,54.5591,96.6713,159.8197,46.1892,24.3996,55.8132,92.2719
ENSMUSG00000000579.14,Dynlt1c,446.4,557,788,595.3333333,0.3193,0.0960,-0.4045,0.8199,133.9657,71.0809,116.0474,104.3568,59.9113,31.7884,67.0000,60.2504
ENSMUSG00000000581.8,C1d,428.2,659.4,679.6666667,497.6666667,0.6229,-0.4060,-0.4496,0.6665,156.2600,77.8415,60.3435,142.1490,69.8816,34.8118,34.8393,82.0698
ENSMUSG00000000594.7,Gm2a,3893,4876,6600.333333,5201.333333,0.3248,0.0932,-0.3437,0.7617,2362.9721,843.8729,1765.3307,3644.6583,1056.7532,377.3914,1019.2141,2104.2445
ENSMUSG00000000600.15,Krit1,322,388.6,516.3333333,330.6666667,0.2712,-0.2329,-0.6429,0.6812,101.3336,49.8929,99.2841,103.3263,45.3178,22.3128,57.3217,59.6555
ENSMUSG00000000605.9,Clcn4,836.4,1079,952.6666667,722,0.3674,-0.5796,-0.4000,0.1878,425.1844,222.2049,235.2559,398.5863,190.1483,99.3730,135.8251,230.1239
ENSMUSG00000000628.10,Hk2,4926.4,2809.6,2950.333333,6995.333333,-0.8102,1.3160,1.2455,-0.7397,4674.1963,351.5548,130.2165,6411.2032,2090.3641,157.2201,75.1805,3701.5099
ENSMUSG00000000631.20,Myo18a,484.2,448.4,475,513,-0.1108,0.1942,0.1110,-0.0277,153.8707,92.8833,80.5543,143.5653,68.8131,41.5387,46.5081,82.8875
ENSMUSG00000000673.9,Haao,567,443.8,727.3333333,615.3333333,-0.3534,0.4715,-0.2412,0.3593,51.1957,27.6532,77.3972,217.7483,22.8954,12.3669,44.6853,125.7171
ENSMUSG00000000682.7,Cd52,15462,7864.4,13186.66667,28556.33333,-0.9753,1.8604,1.1147,-0.2296,16365.4047,2020.5071,4298.5133,21190.7207,7318.8315,903.5982,2481.7478,12234.4683
ENSMUSG00000000686.11,Abhd15,1004.6,1380.4,1004.666667,666.3333333,0.4585,-1.0508,-0.5924,0.0001,670.1778,248.5946,211.3417,526.4336,299.7126,111.1749,122.0182,303.9366
ENSMUSG00000000693.10,Loxl3,167.2,224,270,135.6666667,0.4219,-0.7234,-0.9929,0.6914,128.6748,85.4488,54.0278,117.6492,57.5451,38.2139,31.1929,67.9248
ENSMUSG00000000708.14,Kat2b,126.2,137,202.3333333,83.66666667,0.1185,-0.7115,-1.2740,0.6810,46.5156,28.2223,36.0740,66.3350,20.8024,12.6214,20.8273,38.2985
ENSMUSG00000000711.3,Rab5b,308.4,313.6,429.3333333,234.6666667,0.0241,-0.4183,-0.8715,0.4773,167.9414,28.1567,52.2526,147.0181,75.1057,12.5921,30.1680,84.8810
ENSMUSG00000000732.9,Icosl,1020.6,1137,1296.666667,1089.333333,0.1558,-0.0618,-0.2514,0.3454,651.4559,259.8605,281.5854,640.3611,291.3399,116.2132,162.5734,369.7127
ENSMUSG00000000738.18,Spg7,425.4,418.2,338,380.3333333,-0.0246,-0.1369,0.1702,-0.3318,107.5281,62.2350,50.1099,97.4389,48.0880,27.8324,28.9310,56.2564
ENSMUSG00000000740.12,Rpl13,10743.2,14320.4,19303.33333,22436,0.4146,0.6477,0.2170,0.8454,1885.8355,4637.8869,5087.6060,8890.0364,843.3713,2074.1261,2937.3307,5132.6649
ENSMUSG00000000743.9,Chmp1a,1158.2,1293.4,1370,897.6666667,0.1593,-0.5269,-0.6099,0.2423,620.7775,243.8305,342.7667,419.2104,277.6201,109.0443,197.8964,242.0312
ENSMUSG00000000751.13,Rpa1,258.4,305.6,255.3333333,211.3333333,0.2420,-0.5321,-0.2729,-0.0172,124.7790,59.4794,123.0054,155.3877,55.8029,26.6000,71.0172,89.7131
ENSMUSG00000000753.15,Serpinf1,1828.6,2968.6,1477.666667,756.3333333,0.6990,-1.9727,-0.9662,-0.3074,822.7738,455.8983,291.7265,421.5286,367.9556,203.8839,168.4284,243.3696
ENSMUSG00000000759.14,Tubgcp3,297.2,292.8,239.3333333,245,-0.0215,-0.2571,0.0338,-0.3124,171.0064,70.2403,108.6477,97.3499,76.4764,31.4124,62.7278,56.2050
ENSMUSG00000000776.13,Polr3d,158,168.6,173,121,0.0937,-0.4786,-0.5158,0.1308,54.2310,22.7442,42.3320,22.2711,24.2528,10.1715,24.4404,12.8582
ENSMUSG00000000787.12,Ddx3x,698.4,855.2,958.6666667,712,0.2922,-0.2644,-0.4292,0.4570,371.6562,154.2002,317.2575,267.1872,166.2097,68.9604,183.1687,154.2606
ENSMUSG00000000804.14,Usp32,38.8,39.4,50.33333333,43.33333333,0.0221,0.1373,-0.2160,0.3755,23.4030,16.5167,24.0901,22.8108,10.4661,7.3865,13.9084,13.1698
ENSMUSG00000000811.13,Txnrd3,35.8,30,10.66666667,27.66666667,-0.2550,-0.1168,1.3750,-1.7469,46.0890,17.4929,9.2376,14.8436,20.6116,7.8230,5.3333,8.5700
ENSMUSG00000000823.16,Zfp512b,116.4,115.6,168,136.6666667,-0.0099,0.2415,-0.2978,0.5294,65.0792,26.7264,61.0246,77.9829,29.1043,11.9524,35.2326,45.0235
ENSMUSG00000000826.16,Dnajc5,858.8,903.6,814,732.3333333,0.0734,-0.3032,-0.1525,-0.0773,191.9966,78.0372,154.3114,278.8142,85.8635,34.8993,89.0917,160.9734
ENSMUSG00000000827.18,Tpd52l2,950.4,1355,1289,906,0.5117,-0.5807,-0.5087,0.4396,485.0817,43.3186,204.7266,478.9029,216.9352,19.3727,118.1990,276.4947
ENSMUSG00000000838.17,Fmr1,93.6,109.6,127,88.33333333,0.2277,-0.3112,-0.5238,0.4402,40.2778,16.4256,56.1070,43.0155,18.0128,7.3457,32.3934,24.8350
ENSMUSG00000000876.11,Pxmp4,262.2,372.2,301,217,0.5054,-0.7784,-0.4721,0.1991,87.3310,61.3612,14.0000,90.0389,39.0556,27.4416,8.0829,51.9840
ENSMUSG00000000881.12,Dlg3,78.2,81.6,72.33333333,62.66666667,0.0614,-0.3809,-0.2070,-0.1125,46.6873,7.3689,34.5302,51.7333,20.8792,3.2955,19.9360,29.8682
ENSMUSG00000000884.17,Gnb1l,21.6,42.6,58.66666667,21.66666667,0.9798,-0.9754,-1.4371,1.4415,18.4743,9.8894,27.0617,19.2959,8.2620,4.4227,15.6241,11.1405
ENSMUSG00000000901.17,Mmp11,52.8,58.2,43.66666667,6.666666667,0.1405,-3.1260,-2.7115,-0.2740,33.0560,25.9268,4.1633,5.6862,14.7831,11.5948,2.4037,3.2830
ENSMUSG00000000902.13,Smarcb1,707.2,830.4,807,521.3333333,0.2317,-0.6716,-0.6304,0.1905,344.5253,71.9535,100.3743,219.3110,154.0764,32.1786,57.9511,126.6193
ENSMUSG00000000915.15,Hip1r,15.2,24,17.66666667,18.66666667,0.6590,-0.3626,0.0794,0.2170,8.2583,5.9582,4.9329,2.0817,3.6932,2.6646,2.8480,1.2019
ENSMUSG00000000916.15,Nsun5,296.2,358.4,291.3333333,317.6666667,0.2750,-0.1741,0.1248,-0.0239,91.0643,46.8647,45.6545,96.5729,40.7252,20.9585,26.3586,55.7564
ENSMUSG00000000934.9,Top1mt,63.2,78.2,86.66666667,68.33333333,0.3072,-0.1946,-0.3429,0.4556,34.0397,17.3407,7.0238,33.5311,15.2230,7.7550,4.0552,19.3592
ENSMUSG00000000957.11,Mmp14,328.6,417,408,343.6666667,0.3437,-0.2790,-0.2476,0.3122,212.8610,86.4523,75.5447,235.4874,95.1943,38.6626,43.6157,135.9587
ENSMUSG00000000958.10,Slc7a7,1891.6,2536.2,2284.333333,1457,0.4231,-0.7997,-0.6488,0.2722,1174.0951,439.2422,400.0754,1155.5626,525.0713,196.4351,230.9836,667.1644
ENSMUSG00000000959.7,Oxa1l,709.6,924.8,1013.333333,659.6666667,0.3821,-0.4874,-0.6193,0.5140,346.4423,156.9608,134.4408,344.5930,154.9337,70.1950,77.6194,198.9509
ENSMUSG00000000976.13,Heatr6,378.6,550.8,521,415,0.5409,-0.4084,-0.3282,0.4606,108.3157,80.6517,80.8517,92.0489,48.4403,36.0685,46.6798,53.1445
ENSMUSG00000000982.5,Ccl3,1155,1324,2086.333333,1821.333333,0.1970,0.4601,-0.1960,0.8531,265.1575,509.7244,299.7488,914.6433,118.5820,227.9557,173.0600,528.0695
ENSMUSG00000001016.12,Ilf2,490,507.8,542.3333333,518,0.0515,0.0287,-0.0662,0.1464,77.8332,53.0349,63.9557,76.2955,34.8080,23.7179,36.9248,44.0492
ENSMUSG00000001017.15,Chtop,1128.6,1270.8,1226.666667,897.6666667,0.1712,-0.5015,-0.4505,0.1202,656.2765,314.7113,229.1164,558.1866,293.4958,140.7432,132.2804,322.2692
ENSMUSG00000001018.15,Snapin,1132.8,1455.8,1566,980.6666667,0.3619,-0.5700,-0.6752,0.4672,573.4019,99.3992,222.9529,610.2723,256.4331,44.4527,128.7219,352.3409
ENSMUSG00000001020.8,S100a4,190.4,101.8,264.3333333,325,-0.9033,1.6747,0.2981,0.4733,149.9677,48.6590,95.7096,248.5619,67.0676,21.7610,55.2580,143.5073
ENSMUSG00000001025.8,S100a6,25.2,18.2,46.33333333,33.66666667,-0.4695,0.8874,-0.4607,0.8786,16.6643,8.1670,13.0128,21.3620,7.4525,3.6524,7.5130,12.3333
ENSMUSG00000001029.15,Icam2,48.2,86.2,43.66666667,15.66666667,0.8387,-2.4600,-1.4788,-0.1425,24.0146,16.0219,17.8979,17.7858,10.7396,7.1652,10.3333,10.2686
ENSMUSG00000001034.17,Mapk7,291,287.2,268.6666667,236,-0.0190,-0.2833,-0.1870,-0.1152,183.4162,80.1293,96.5004,175.8522,82.0262,35.8349,55.7146,101.5283
ENSMUSG00000001036.17,Epn2,149.6,199.8,146.6666667,64,0.4174,-1.6424,-1.1964,-0.0286,89.7736,51.1439,63.8931,57.5847,40.1480,22.8723,36.8887,33.2466
ENSMUSG00000001039.12,B9d1,21.6,24.8,43,36,0.1993,0.5377,-0.2563,0.9933,11.3710,11.9457,45.9021,34.8712,5.0853,5.3423,26.5016,20.1329
ENSMUSG00000001052.15,Sec24b,423.4,444.8,461,370.6666667,0.0711,-0.2630,-0.3146,0.1227,186.0828,66.1151,40.0375,112.4337,83.2187,29.5675,23.1157,64.9136
ENSMUSG00000001054.9,Rmnd5b,478.4,640.6,509.3333333,376.6666667,0.4212,-0.7661,-0.4353,0.0904,263.5058,104.6485,92.2406,196.3577,117.8434,46.8002,53.2552,113.3672
ENSMUSG00000001056.3,Nhp2,464.4,658,618.3333333,570.3333333,0.5027,-0.2063,-0.1166,0.4130,32.9363,157.2943,43.6157,277.1035,14.7296,70.3442,25.1816,159.9858
ENSMUSG00000001062.18,Vps9d1,872.8,915.6,1176,1063.333333,0.0691,0.2158,-0.1453,0.4302,394.4885,118.6899,199.0050,624.9355,176.4206,53.0798,114.8956,360.8067
ENSMUSG00000001065.15,Zfp276,467.4,429.2,470,362.3333333,-0.1230,-0.2443,-0.3753,0.0080,301.9922,160.9478,173.2080,273.3758,135.0550,71.9781,100.0017,157.8336
ENSMUSG00000001082.12,Mfsd10,986,1150.2,1054.666667,815.6666667,0.2222,-0.4958,-0.3707,0.0971,551.1053,235.1865,171.5702,547.7064,246.4618,105.1786,99.0561,316.2185
ENSMUSG00000001089.14,Luzp1,92,158,185.6666667,157,0.7802,-0.0092,-0.2420,1.0130,54.0185,25.9422,18.5023,27.6225,24.1578,11.6017,10.6823,15.9478
ENSMUSG00000001098.15,Kctd10,176.4,190.6,167,117.6666667,0.1117,-0.6958,-0.5051,-0.0790,147.7576,58.8456,43.3474,131.1119,66.0792,26.3165,25.0267,75.6975
ENSMUSG00000001100.10,Poldip2,675,773,713,425.6666667,0.1956,-0.8607,-0.7442,0.0790,328.2568,158.6994,142.3798,325.2712,146.8009,70.9725,82.2030,187.7954
ENSMUSG00000001105.15,Ift20,353.8,459,452,367,0.3756,-0.3227,-0.3005,0.3534,54.4077,97.7369,47.8435,84.2852,24.3319,43.7093,27.6225,48.6621
ENSMUSG00000001123.15,Lgals9,8859.4,10078.4,9847,6671.666667,0.1860,-0.5951,-0.5616,0.1525,4031.2671,1155.6965,1055.6851,3913.5618,1802.8375,516.8432,609.5001,2259.4960
ENSMUSG00000001127.12,Araf,808,901.2,1192.333333,642.3333333,0.1575,-0.4885,-0.8924,0.5614,445.0882,116.3602,222.3271,386.6476,199.0495,52.0379,128.3606,223.2311
ENSMUSG00000001128.7,Cfp,13.4,22,18,20,0.7153,-0.1375,0.1520,0.4258,14.7919,10.2956,14.7309,14.4222,6.6151,4.6043,8.5049,8.3267
ENSMUSG00000001134.9,Uxt,206.8,227.4,287.3333333,269.3333333,0.1370,0.2442,-0.0933,0.4745,95.8316,96.4536,47.0567,145.0287,42.8572,43.1354,27.1682,83.7324
ENSMUSG00000001138.13,Cnnm3,237.2,222.4,241.3333333,179.6666667,-0.0929,-0.3078,-0.4257,0.0249,102.5826,47.3899,20.2320,56.0833,45.8764,21.1934,11.6809,32.3797
ENSMUSG00000001143.13,Lman2l,919,1042.6,1224,871.6666667,0.1820,-0.2583,-0.4898,0.4135,547.6267,139.8653,196.7308,475.5274,244.9061,62.5497,113.5826,274.5459
ENSMUSG00000001150.7,Mcm3ap,157.2,153.8,139.6666667,161.3333333,-0.0315,0.0690,0.2081,-0.1706,74.0250,19.6520,11.7189,78.6532,33.1050,8.7886,6.7659,45.4105
ENSMUSG00000001151.10,Pcnt,163.2,180.2,185.6666667,124,0.1430,-0.5393,-0.5824,0.1861,109.7620,43.1126,13.6504,83.5404,49.0871,19.2806,7.8811,48.2321
ENSMUSG00000001156.9,Mxd1,245.2,254.2,300.6666667,216.6666667,0.0520,-0.2305,-0.4727,0.2942,147.5219,46.3541,77.5973,202.2111,65.9738,20.7302,44.8008,116.7466
ENSMUSG00000001157.13,Gmcl1,179.6,198.4,200.3333333,166,0.1436,-0.2572,-0.2712,0.1576,127.1232,56.3764,75.5932,98.3819,56.8512,25.2123,43.6438,56.8008
ENSMUSG00000001158.13,Snrnp27,365,427.8,419,509,0.2290,0.2507,0.2807,0.1991,112.6654,114.2156,59.5063,237.8592,50.3855,51.0788,34.3560,137.3281
ENSMUSG00000001166.17,Oas1c,40.4,40,76.66666667,21.33333333,-0.0144,-0.9069,-1.8455,0.9242,13.3529,18.8016,19.2180,19.0088,5.9716,8.4083,11.0955,10.9747
ENSMUSG00000001173.15,Ocrl,101.6,84.6,78,66.33333333,-0.2642,-0.3509,-0.2337,-0.3814,53.7894,19.9700,45.5082,23.6925,24.0554,8.9308,26.2742,13.6789
ENSMUSG00000001175.16,Calm1,3330.8,4154,3610,3919.666667,0.3186,-0.0838,0.1187,0.1161,342.8173,891.7441,232.1142,1121.2976,153.3126,398.8001,134.0112,647.3815
ENSMUSG00000001211.15,Agpat3,423.6,547.8,463.6666667,372,0.3709,-0.5583,-0.3178,0.1304,192.5715,63.9664,59.5427,184.0897,86.1206,28.6066,34.3770,106.2842
ENSMUSG00000001228.14,Uhrf1,82.2,78.6,15.66666667,28,-0.0646,-1.4891,0.8377,-2.3914,61.5362,44.8754,17.1561,25.2389,27.5198,20.0689,9.9051,14.5717
ENSMUSG00000001229.9,Dpp9,227,231.8,209.3333333,165.6666667,0.0302,-0.4846,-0.3375,-0.1169,134.0616,58.7427,43.8444,119.9764,59.9541,26.2705,25.3136,69.2684
ENSMUSG00000001240.13,Ramp2,28.6,37.6,31.66666667,16.66666667,0.3947,-1.1738,-0.9260,0.1469,19.9324,14.7919,13.6504,14.5717,8.9140,6.6151,7.8811,8.4130
ENSMUSG00000001248.15,Gramd1a,2429.4,2415.4,2475.666667,1939,-0.0083,-0.3169,-0.3525,0.0272,1601.9765,770.0986,742.1471,1545.2835,716.4257,344.3985,428.4788,892.1698
ENSMUSG00000001249.14,Hpn,106.6,136,151.6666667,121.6666667,0.3514,-0.1607,-0.3180,0.5087,71.3709,41.1522,37.2201,70.0024,31.9180,18.4038,21.4890,40.4159
ENSMUSG00000001270.9,Ckb,8771.2,12275.2,9996.666667,6990.666667,0.4849,-0.8122,-0.5160,0.1887,5161.3729,1848.6340,1751.9767,4974.8047,2308.2362,826.7343,1011.5042,2872.2048
ENSMUSG00000001280.13,Sp1,312.2,318.8,358,130.6666667,0.0302,-1.2868,-1.4541,0.1975,141.8686,91.6253,161.9290,96.4071,63.4456,40.9761,93.4897,55.6607
ENSMUSG00000001281.10,Itgb7,9.4,11,16.33333333,6.666666667,0.2268,-0.7225,-1.2928,0.7971,7.0922,4.1833,8.5049,3.2146,3.1718,1.8708,4.9103,1.8559
ENSMUSG00000001285.12,Myg1,419.8,635.8,571.6666667,466.3333333,0.5989,-0.4472,-0.2938,0.4455,221.7311,83.7866,143.0047,161.4197,99.1612,37.4705,82.5638,93.1957
ENSMUSG00000001289.12,Pfdn5,2516.2,2830.2,3632,4819.333333,0.1697,0.7679,0.4081,0.5295,1016.0432,827.4006,816.6033,2314.2818,454.3883,370.0248,471.4662,1336.1512
ENSMUSG00000001305.5,Rrp15,117.8,179.2,154,113.3333333,0.6052,-0.6610,-0.4424,0.3866,62.2551,38.7776,8.5440,72.0370,27.8413,17.3419,4.9329,41.5906
ENSMUSG00000001313.12,Rnd2,16,18.6,13.33333333,15.33333333,0.2172,-0.2786,0.2016,-0.2630,14.3701,9.0995,11.9304,3.0551,6.4265,4.0694,6.8880,1.7638
ENSMUSG00000001323.17,Srr,51.4,68.2,81.66666667,52.66666667,0.4080,-0.3729,-0.6329,0.6680,22.1766,33.4843,50.0233,25.6970,9.9177,14.9746,28.8810,14.8361
ENSMUSG00000001366.14,Fbxo9,355.8,399.8,392,426,0.1682,0.0916,0.1200,0.1398,118.2189,63.7864,81.7251,26.0576,52.8691,28.5261,47.1840,15.0444
ENSMUSG00000001376.17,Vps50,172.4,221.4,252,215.6666667,0.3609,-0.0379,-0.2246,0.5477,85.8446,20.5499,35.5528,92.8027,38.3909,9.1902,20.5264,53.5796
